account_id,suspect_id,bank_name,account_number_masked,account_type
ACC-00001,SUS-00008,HDFC Bank,XXXX-XXXX-3713,Savings
ACC-00002,SUS-00014,ICICI Bank,XXXX-XXXX-4664,Wallet
ACC-00003,SUS-00076,HDFC Bank,XXXX-XXXX-2738,Wallet
ACC-00004,SUS-00100,Canara Bank,XXXX-XXXX-2572,Savings
ACC-00005,SUS-00094,Canara Bank,XXXX-XXXX-1448,Current
ACC-00006,SUS-00094,SBI,XXXX-XXXX-9844,Savings
ACC-00007,SUS-00117,ICICI Bank,XXXX-XXXX-1422,Savings
ACC-00008,SUS-00098,Karnataka Bank,XXXX-XXXX-7987,Current
ACC-00009,SUS-00066,ICICI Bank,XXXX-XXXX-5832,Wallet
ACC-00010,SUS-00105,SBI,XXXX-XXXX-8281,Wallet
ACC-00011,SUS-00105,ICICI Bank,XXXX-XXXX-5309,Savings
ACC-00012,SUS-00075,HDFC Bank,XXXX-XXXX-2908,Wallet
ACC-00013,SUS-00013,Union Bank,XXXX-XXXX-4644,Current
ACC-00014,SUS-00013,HDFC Bank,XXXX-XXXX-3567,Savings
ACC-00015,SUS-00077,Union Bank,XXXX-XXXX-9402,Current
ACC-00016,SUS-00016,Union Bank,XXXX-XXXX-6157,Wallet
ACC-00017,SUS-00104,SBI,XXXX-XXXX-9540,Savings
ACC-00018,SUS-00087,Union Bank,XXXX-XXXX-1583,Wallet
ACC-00019,SUS-00087,Union Bank,XXXX-XXXX-1130,Savings
ACC-00020,SUS-00109,Canara Bank,XXXX-XXXX-4205,Savings
ACC-00021,SUS-00113,Canara Bank,XXXX-XXXX-9138,Savings
ACC-00022,SUS-00058,SBI,XXXX-XXXX-9459,Wallet
ACC-00023,SUS-00120,SBI,XXXX-XXXX-8115,Savings
ACC-00024,SUS-00120,Karnataka Bank,XXXX-XXXX-4416,Current
ACC-00025,SUS-00119,Union Bank,XXXX-XXXX-5310,Current
ACC-00026,SUS-00001,Canara Bank,XXXX-XXXX-6713,Savings
ACC-00027,SUS-00099,Canara Bank,XXXX-XXXX-5916,Wallet
ACC-00028,SUS-00088,Union Bank,XXXX-XXXX-8947,Savings
ACC-00029,SUS-00088,Union Bank,XXXX-XXXX-7425,Current
ACC-00030,SUS-00036,HDFC Bank,XXXX-XXXX-2581,Savings
ACC-00031,SUS-00074,HDFC Bank,XXXX-XXXX-7874,Wallet
ACC-00032,SUS-00074,HDFC Bank,XXXX-XXXX-5053,Current
ACC-00033,SUS-00071,ICICI Bank,XXXX-XXXX-6224,Current
ACC-00034,SUS-00052,ICICI Bank,XXXX-XXXX-3098,Current
ACC-00035,SUS-00039,ICICI Bank,XXXX-XXXX-7750,Current
ACC-00036,SUS-00032,HDFC Bank,XXXX-XXXX-9314,Savings
ACC-00037,SUS-00050,ICICI Bank,XXXX-XXXX-1996,Current
ACC-00038,SUS-00050,HDFC Bank,XXXX-XXXX-5286,Current
ACC-00039,SUS-00103,ICICI Bank,XXXX-XXXX-7966,Savings
ACC-00040,SUS-00097,HDFC Bank,XXXX-XXXX-8954,Current
ACC-00041,SUS-00097,HDFC Bank,XXXX-XXXX-1747,Savings
ACC-00042,SUS-00111,Karnataka Bank,XXXX-XXXX-3728,Savings
ACC-00043,SUS-00029,SBI,XXXX-XXXX-6401,Savings
ACC-00044,SUS-00029,Karnataka Bank,XXXX-XXXX-1326,Wallet
ACC-00045,SUS-00009,ICICI Bank,XXXX-XXXX-2478,Current
ACC-00046,SUS-00020,HDFC Bank,XXXX-XXXX-2039,Current
ACC-00047,SUS-00031,HDFC Bank,XXXX-XXXX-9773,Savings
ACC-00048,SUS-00055,Karnataka Bank,XXXX-XXXX-7480,Wallet
ACC-00049,SUS-00033,Canara Bank,XXXX-XXXX-7125,Savings
ACC-00050,SUS-00006,Union Bank,XXXX-XXXX-5074,Wallet
ACC-00051,SUS-00046,SBI,XXXX-XXXX-9627,Savings
ACC-00052,SUS-00110,ICICI Bank,XXXX-XXXX-1692,Savings
ACC-00053,SUS-00015,Canara Bank,XXXX-XXXX-5051,Savings
ACC-00054,SUS-00018,ICICI Bank,XXXX-XXXX-7565,Savings
ACC-00055,SUS-00018,Union Bank,XXXX-XXXX-5423,Wallet
ACC-00056,SUS-00118,Karnataka Bank,XXXX-XXXX-7805,Savings
ACC-00057,SUS-00106,Karnataka Bank,XXXX-XXXX-3487,Savings
ACC-00058,SUS-00106,Karnataka Bank,XXXX-XXXX-7408,Savings
ACC-00059,SUS-00096,HDFC Bank,XXXX-XXXX-6303,Savings
ACC-00060,SUS-00007,HDFC Bank,XXXX-XXXX-5490,Savings
ACC-00061,SUS-00007,SBI,XXXX-XXXX-5329,Wallet
ACC-00062,SUS-00003,ICICI Bank,XXXX-XXXX-5771,Savings
ACC-00063,SUS-00069,ICICI Bank,XXXX-XXXX-5563,Savings
ACC-00064,SUS-00019,Karnataka Bank,XXXX-XXXX-9300,Savings
ACC-00065,SUS-00019,SBI,XXXX-XXXX-9143,Current
ACC-00066,SUS-00026,Karnataka Bank,XXXX-XXXX-2774,Savings
ACC-00067,SUS-00026,Karnataka Bank,XXXX-XXXX-1407,Savings
ACC-00068,SUS-00108,HDFC Bank,XXXX-XXXX-8811,Current
ACC-00069,SUS-00030,HDFC Bank,XXXX-XXXX-3355,Wallet
ACC-00070,SUS-00062,SBI,XXXX-XXXX-3773,Savings
ACC-00071,SUS-00062,ICICI Bank,XXXX-XXXX-5095,Savings
