transaction_id,from_account_id,to_account_id,amount,txn_date,fir_id,flagged_suspicious,flag_reason
TXN-000001,ACC-00062,ACC-00071,2000.0,2025-01-06,,0,
TXN-000002,ACC-00071,ACC-00062,15000.0,2026-04-15,,0,
TXN-000003,ACC-00071,ACC-00062,500.0,2025-06-10,,0,
TXN-000004,ACC-00070,ACC-00013,90000.0,2025-07-17,,0,
TXN-000005,ACC-00070,ACC-00064,200000.0,2025-11-10,,1,"High-value transfer above Rs. 2,00,000"
TXN-000006,ACC-00066,ACC-00042,15000.0,2025-04-16,FIR-2025-00078,1,Linked to an open Cybercrime/Fraud FIR
TXN-000007,ACC-00042,ACC-00066,5000.0,2025-04-15,,0,
TXN-000008,ACC-00042,ACC-00066,90000.0,2025-10-11,,0,
TXN-000009,ACC-00066,ACC-00042,5000.0,2025-08-10,FIR-2025-00118,1,Linked to an open Cybercrime/Fraud FIR
TXN-000010,ACC-00063,ACC-00029,5000.0,2025-01-01,,0,
TXN-000011,ACC-00029,ACC-00063,500.0,2026-03-27,,0,
TXN-000012,ACC-00023,ACC-00019,40000.0,2025-05-01,,0,
TXN-000013,ACC-00019,ACC-00023,200000.0,2026-05-01,,1,"High-value transfer above Rs. 2,00,000"
TXN-000014,ACC-00023,ACC-00019,90000.0,2025-08-08,,0,
TXN-000015,ACC-00019,ACC-00023,5000.0,2026-03-29,,0,
TXN-000016,ACC-00023,ACC-00019,2000.0,2026-03-22,,0,
TXN-000017,ACC-00009,ACC-00060,90000.0,2025-12-21,,0,
TXN-000018,ACC-00060,ACC-00012,15000.0,2025-07-15,,0,
TXN-000019,ACC-00012,ACC-00060,5000.0,2025-01-11,,0,
TXN-000020,ACC-00009,ACC-00012,90000.0,2025-01-06,,0,
TXN-000021,ACC-00026,ACC-00053,90000.0,2026-05-30,,0,
TXN-000022,ACC-00053,ACC-00026,500.0,2026-05-06,,0,
TXN-000023,ACC-00026,ACC-00053,40000.0,2025-02-28,,0,
TXN-000024,ACC-00044,ACC-00053,450000.0,2026-04-11,,1,"High-value transfer above Rs. 2,00,000"
TXN-000025,ACC-00050,ACC-00002,2000.0,2025-06-06,FIR-2025-00017,1,Linked to an open Cybercrime/Fraud FIR
TXN-000026,ACC-00050,ACC-00002,2000.0,2025-05-03,,0,
TXN-000027,ACC-00050,ACC-00002,500.0,2025-10-12,,0,
TXN-000028,ACC-00050,ACC-00002,90000.0,2025-11-21,,0,
TXN-000029,ACC-00050,ACC-00002,500.0,2026-02-17,,0,
TXN-000030,ACC-00047,ACC-00041,2000.0,2026-05-29,,0,
TXN-000031,ACC-00041,ACC-00015,2000.0,2025-02-15,,0,
TXN-000032,ACC-00015,ACC-00041,200000.0,2025-01-04,,1,"High-value transfer above Rs. 2,00,000"
TXN-000033,ACC-00015,ACC-00047,90000.0,2026-04-23,,0,
TXN-000034,ACC-00047,ACC-00041,450000.0,2025-04-03,,1,"High-value transfer above Rs. 2,00,000"
TXN-000035,ACC-00024,ACC-00035,5000.0,2025-01-21,,0,
TXN-000036,ACC-00035,ACC-00024,15000.0,2026-04-17,,0,
TXN-000037,ACC-00035,ACC-00024,40000.0,2025-07-15,,0,
TXN-000038,ACC-00057,ACC-00017,200000.0,2025-07-02,,1,"High-value transfer above Rs. 2,00,000"
TXN-000039,ACC-00057,ACC-00017,90000.0,2025-07-12,,0,
TXN-000040,ACC-00057,ACC-00017,5000.0,2025-09-23,,0,
TXN-000041,ACC-00051,ACC-00054,450000.0,2026-01-08,,1,"High-value transfer above Rs. 2,00,000"
TXN-000042,ACC-00051,ACC-00039,5000.0,2026-01-30,FIR-2026-00304,1,Linked to an open Cybercrime/Fraud FIR
TXN-000043,ACC-00054,ACC-00039,200000.0,2025-10-23,,1,"High-value transfer above Rs. 2,00,000"
TXN-000044,ACC-00054,ACC-00051,40000.0,2025-08-04,,0,
TXN-000045,ACC-00051,ACC-00054,450000.0,2025-04-29,,1,"High-value transfer above Rs. 2,00,000"
TXN-000046,ACC-00005,ACC-00025,450000.0,2026-01-17,,1,"High-value transfer above Rs. 2,00,000"
TXN-000047,ACC-00028,ACC-00005,500.0,2025-04-18,,0,
TXN-000048,ACC-00028,ACC-00005,500.0,2026-05-02,,0,
TXN-000049,ACC-00006,ACC-00007,5000.0,2025-11-10,,0,
TXN-000050,ACC-00007,ACC-00006,5000.0,2026-03-26,,0,
TXN-000051,ACC-00006,ACC-00007,200000.0,2025-09-07,,1,"High-value transfer above Rs. 2,00,000"
TXN-000052,ACC-00006,ACC-00007,90000.0,2026-02-15,,0,
TXN-000053,ACC-00065,ACC-00069,2000.0,2025-10-03,,0,
TXN-000054,ACC-00069,ACC-00065,5000.0,2025-11-04,,0,
TXN-000055,ACC-00065,ACC-00069,5000.0,2025-02-25,,0,
TXN-000056,ACC-00065,ACC-00069,5000.0,2026-04-15,,0,
TXN-000057,ACC-00032,ACC-00031,500.0,2025-07-25,,0,
TXN-000058,ACC-00032,ACC-00031,40000.0,2025-08-30,,0,
TXN-000059,ACC-00032,ACC-00031,2000.0,2025-06-07,,0,
TXN-000060,ACC-00031,ACC-00032,450000.0,2025-04-13,,1,"High-value transfer above Rs. 2,00,000"
TXN-000061,ACC-00031,ACC-00032,15000.0,2026-01-21,,0,
TXN-000062,ACC-00045,ACC-00016,200000.0,2025-05-17,,1,"High-value transfer above Rs. 2,00,000"
TXN-000063,ACC-00016,ACC-00045,40000.0,2026-03-11,,0,
TXN-000064,ACC-00016,ACC-00045,90000.0,2025-01-28,,0,
TXN-000065,ACC-00045,ACC-00016,15000.0,2025-12-15,,0,
TXN-000066,ACC-00045,ACC-00016,2000.0,2025-05-22,,0,
TXN-000067,ACC-00043,ACC-00059,15000.0,2025-04-06,,0,
TXN-000068,ACC-00059,ACC-00043,5000.0,2025-10-19,,0,
TXN-000069,ACC-00059,ACC-00043,450000.0,2025-07-03,FIR-2025-00211,1,Linked to an open Cybercrime/Fraud FIR
TXN-000070,ACC-00043,ACC-00059,2000.0,2025-03-26,,0,
TXN-000071,ACC-00059,ACC-00043,200000.0,2025-01-13,,1,"High-value transfer above Rs. 2,00,000"
TXN-000072,ACC-00036,ACC-00048,200000.0,2025-01-12,,1,"High-value transfer above Rs. 2,00,000"
TXN-000073,ACC-00036,ACC-00033,200000.0,2025-11-07,,1,"High-value transfer above Rs. 2,00,000"
TXN-000074,ACC-00036,ACC-00033,2000.0,2026-04-07,,0,
TXN-000075,ACC-00014,ACC-00058,90000.0,2025-07-03,,0,
TXN-000076,ACC-00014,ACC-00058,2000.0,2025-12-12,,0,
TXN-000077,ACC-00058,ACC-00014,15000.0,2026-04-11,,0,
TXN-000078,ACC-00014,ACC-00037,450000.0,2025-05-05,,1,"High-value transfer above Rs. 2,00,000"
TXN-000079,ACC-00001,ACC-00018,500.0,2026-01-14,,0,
TXN-000080,ACC-00001,ACC-00018,90000.0,2025-01-25,,0,
TXN-000081,ACC-00001,ACC-00018,40000.0,2025-01-18,,0,
TXN-000082,ACC-00001,ACC-00018,40000.0,2025-04-25,,0,
TXN-000083,ACC-00001,ACC-00018,200000.0,2025-03-28,,1,"High-value transfer above Rs. 2,00,000"
TXN-000084,ACC-00027,ACC-00040,450000.0,2025-10-09,,1,"High-value transfer above Rs. 2,00,000"
TXN-000085,ACC-00040,ACC-00027,15000.0,2026-06-21,,0,
TXN-000086,ACC-00038,ACC-00021,90000.0,2025-05-31,,0,
TXN-000087,ACC-00021,ACC-00038,200000.0,2025-03-22,,1,"High-value transfer above Rs. 2,00,000"
TXN-000088,ACC-00046,ACC-00021,200000.0,2025-07-08,,1,"High-value transfer above Rs. 2,00,000"
TXN-000089,ACC-00021,ACC-00046,2000.0,2026-03-20,,0,
TXN-000090,ACC-00038,ACC-00021,40000.0,2026-06-11,,0,
TXN-000091,ACC-00056,ACC-00003,90000.0,2025-08-09,,0,
TXN-000092,ACC-00010,ACC-00056,5000.0,2025-02-16,,0,
TXN-000093,ACC-00056,ACC-00010,5000.0,2025-10-07,,0,
TXN-000094,ACC-00049,ACC-00022,500.0,2025-05-13,,0,
TXN-000095,ACC-00049,ACC-00022,450000.0,2025-11-22,,1,"High-value transfer above Rs. 2,00,000"
TXN-000096,ACC-00020,ACC-00055,500.0,2025-08-15,,0,
TXN-000097,ACC-00020,ACC-00055,450000.0,2025-12-03,,1,"High-value transfer above Rs. 2,00,000"
TXN-000098,ACC-00068,ACC-00034,90000.0,2025-12-21,,0,
TXN-000099,ACC-00068,ACC-00034,450000.0,2026-05-26,,1,"High-value transfer above Rs. 2,00,000"
TXN-000100,ACC-00034,ACC-00068,200000.0,2025-02-03,,1,"High-value transfer above Rs. 2,00,000"
TXN-000101,ACC-00034,ACC-00068,90000.0,2026-01-14,,0,
TXN-000102,ACC-00068,ACC-00034,90000.0,2026-04-24,,0,
TXN-000103,ACC-00052,ACC-00004,40000.0,2026-05-18,,0,
TXN-000104,ACC-00052,ACC-00020,15000.0,2025-05-15,,0,
TXN-000105,ACC-00052,ACC-00022,200000.0,2025-05-07,,1,"High-value transfer above Rs. 2,00,000"
TXN-000106,ACC-00052,ACC-00046,2000.0,2025-08-05,,0,
TXN-000107,ACC-00052,ACC-00057,2000.0,2025-07-02,,0,
TXN-000108,ACC-00052,ACC-00055,5000.0,2026-02-15,,0,
TXN-000109,ACC-00052,ACC-00003,200000.0,2025-08-11,,1,"High-value transfer above Rs. 2,00,000"
TXN-000110,ACC-00052,ACC-00049,200000.0,2025-10-13,,1,"High-value transfer above Rs. 2,00,000"
TXN-000111,ACC-00061,ACC-00041,200000.0,2026-04-21,,1,"High-value transfer above Rs. 2,00,000"
TXN-000112,ACC-00061,ACC-00047,40000.0,2026-04-06,,0,
TXN-000113,ACC-00061,ACC-00014,5000.0,2025-07-01,,0,
