suspect_id,name,age,gender,known_address,prior_cases,socio_economic_band,education_level,modus_operandi
SUS-00001,Ravi Swamy,35,Male,Malleshwaram,1,Middle,Secondary,Cyber-enabled
SUS-00002,Rekha Kumar,19,Male,Lashkar Mohalla,0,Middle,Illiterate,Opportunistic - unarmed
SUS-00003,Basavaraj Hegde,32,Male,Kuvempunagar,1,Middle,Illiterate,Cyber-enabled
SUS-00004,Deepa Rao,27,Male,Hampankatta,2,Low,Secondary,Organized - armed
SUS-00005,Harish Kumar,47,Male,Panambur,0,Low,Primary,Cyber-enabled
SUS-00006,Lakshmi Acharya,30,Male,Indiranagar,3,Middle,Graduate,Repeat pattern - same MO
SUS-00007,Prakash Hegde,35,Male,Kadri,3,Low,Secondary,Cyber-enabled
SUS-00008,Manjunath Acharya,58,Male,Lashkar Mohalla,2,Low,Secondary,Repeat pattern - same MO
SUS-00009,Basavaraj Shetty,38,Female,Indiranagar,1,Low,Illiterate,Opportunistic - unarmed
SUS-00010,Venkatesh Acharya,38,Male,Gokul Road,0,Low,Graduate,Organized - armed
SUS-00011,Lokesh Swamy,53,Male,Surathkal,0,High,Secondary,Opportunistic - unarmed
SUS-00012,Mahesh Patil,23,Male,Whitefield,8,Low,Primary,Repeat pattern - same MO
SUS-00013,Sunita Hegde,56,Female,Old Hubballi,1,Low,Secondary,Repeat pattern - same MO
SUS-00014,Prakash Murthy,52,Male,Hampankatta,2,Low,Secondary,Organized - armed
SUS-00015,Harish Shastri,29,Male,Whitefield,5,High,Primary,Cyber-enabled
SUS-00016,Kiran Naik,28,Male,Old Hubballi,1,High,Secondary,Organized - armed
SUS-00017,Lakshmi Rao,33,Male,Jayanagar 4th Block,0,Low,Secondary,Opportunistic - unarmed
SUS-00018,Kiran Reddy,60,Male,Dharwad Market,2,Low,Secondary,Cyber-enabled
SUS-00019,Basavaraj Swamy,30,Male,Panambur,5,High,Secondary,Organized - armed
SUS-00020,Prakash Shetty,32,Male,MG Road,1,Middle,Primary,Opportunistic - unarmed
SUS-00021,Suresh Shetty,22,Female,Hampankatta,0,Low,Primary,Cyber-enabled
SUS-00022,Kiran Swamy,54,Male,Lashkar Mohalla,0,Middle,Graduate,Opportunistic - unarmed
SUS-00023,Rekha Naik,45,Male,Indiranagar,0,Middle,Postgraduate,Opportunistic - unarmed
SUS-00024,Deepa Gowda,33,Male,Dharwad Market,1,Low,Secondary,Opportunistic - unarmed
SUS-00025,Manjunath Patil,53,Male,Dharwad Market,0,Middle,Postgraduate,Repeat pattern - same MO
SUS-00026,Santosh Hegde,49,Male,Panambur,3,High,Primary,Opportunistic - unarmed
SUS-00027,Anand Rao,45,Male,Dharwad Market,0,Middle,Secondary,Opportunistic - unarmed
SUS-00028,Suresh Acharya,52,Male,Hampankatta,0,Low,Secondary,Organized - armed
SUS-00029,Santosh Kumar,50,Male,Koramangala,3,Low,Illiterate,Repeat pattern - same MO
SUS-00030,Shivakumar Shetty,55,Male,Jayanagar 4th Block,1,Low,Secondary,Organized - armed
SUS-00031,Venkatesh Murthy,38,Male,Panambur,5,Low,Secondary,Organized - armed
SUS-00032,Manjunath Kumar,47,Male,Whitefield,5,Low,Primary,Organized - armed
SUS-00033,Manjunath Shetty,41,Male,Vidyanagar,5,Middle,Graduate,Cyber-enabled
SUS-00034,Mahesh Kumar,60,Female,Hebbal Industrial Area,8,High,Primary,Repeat pattern - same MO
SUS-00035,Prakash Swamy,53,Male,Hebbal Industrial Area,0,Middle,Graduate,Opportunistic - unarmed
SUS-00036,Harish Shastri,49,Male,Indiranagar,1,Low,Secondary,Opportunistic - unarmed
SUS-00037,Kiran Murthy,34,Male,Vidyanagar,0,Middle,Secondary,Opportunistic - unarmed
